"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"163","PC-089",NA,"369,974","3,909,011","5,810","X","115","115","210MNCSU",-11847777.44,4206890.513,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"164","EB-061",NA,"420,208","3,936,150","7,226","RG-55927","340","340","400EMBD",-11786565.55,4241043.058,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"165","EB-585",NA,"403,853","3,955,866","6,468","X","","","121TSUQs",-11806915.48,4265194.079,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"166","SV-0002",NA,"378,735","3,900,491","6,481","RG-66894","225","225","325MDER",-11836911.24,4196567.633,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"167","TO-0471",NA,"406,325","3,879,480","6,237","","","232","310GLOR",-11802896.05,4171181.278,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"168","PC-009",NA,"367,974","3,907,951","5,868","RG-25304","190","190","211MENFL",-11850206.93,4205551.292,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"169","SV-0006",NA,"377,472","3,900,270","6,601","RG-67952","200","200","325MDER",-11838452.44,4196275.162,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"170","EB-518",NA,"414,156","3,934,932","6,676","RG-18529","350","350","121TSUQa",-11793984.68,4239471.193,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"171","PC-095",NA,"368,055","3,906,585","6,171","?","225","225","231PFDFU",-11850083.3,4203873.25,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"172","BC-0146",NA,"357,899","3,895,990","5,359","RG-60927","760","758","",-11862309.06,4190666.331,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"173","BC-0001",NA,"380,426","3,869,770","7,438","E-06373","364","364","",-11834348.81,4158912.23,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"174","AR-0048",NA,"222,819","4,074,140","5,578","SJ-03143 POD2","40","40","",-12034258.09,4407450.526,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"175","PP-018",NA,"434,756","4,003,955","7,445","X","180","180","",-11769313.99,4325166.793,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"176","SD-0263",NA,"377,203","3,891,730","6,867","X","136","136","110ALVM/231CHNL",-11838639.74,4185783.083,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"177","NM-26926",NA,"369,463","3,910,581","5,702","RG-49263","295","295","112SNTFP",-11848430.9,4208812.297,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"178","BC-0176",NA,"378,818","3,885,670","6,878","S-01779","400","400","",-11836567.32,4178373.626,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"179","BC-0250",NA,"373,605","3,885,570","6,820","S-01037","160","160","",-11842931.5,4178163.766,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"180","EB-051",NA,"418,290","3,941,600","7,349","RG-52333","400","400","400EMBD",-11788982.75,4247747.659,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"181","TO-0395",NA,"393,202","3,870,000","6,573","","","88","325MDER",-11818776.87,4159387.948,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"182","BC-0252",NA,"374,184","3,886,850","6,871","","","165","",-11842246.13,4179743.832,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"183","BC-0320",NA,"380,220","3,892,160","6,697","S-00383","","300","",-11834959.95,4186360.502,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"184","AR-0083",NA,"237,541","4,086,200","5,727","X","","","",-12016382.17,4423133.129,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"185","SD-0321",NA,"366,085","3,908,410","5,624","X","102","102","110ALVM",-11852527.59,4206081.408,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"186","SV-0068",NA,"378,118","3,899,459","6,572","RG-73945","370","370","325MDER",-11837648.91,4195289.519,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"187","BC-0082",NA,"375,467","3,892,640","7,101","RG-84584","","40","",-11840776.37,4186871.048,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"188","BC-0105",NA,"374,805","3,882,770","6,443","","","","",-11841419.02,4174750.098,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"189","AR-0116",NA,"243,507","4,095,780","5,953","X","69","69","",-12009300.23,4435372.432,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"190","EB-035",NA,"419,851","3,936,346","7,205","RG-44717","380","380","400EMBD",-11787006.21,4241280.933,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"191","BC-0065",NA,"379,478","3,888,010","6,820","S-02153","400","400","",-11835799.3,4181255.217,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"192","EB-022",NA,"414,889","3,943,164","7,060","RG-71060","350","287","121TSUQa",-11793181.02,4249639.258,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"193","EB-053",NA,"415,877","3,939,624","7,021","RG-59821","340","340","400EMBD",-11791925.46,4245280.85,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"194","TO-0460",NA,"402,988","3,878,690","6,253","","","","112QTBF",-11806958.61,4170169.887,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"195","AR-0012",NA,"228,771","4,078,750","5,577","X","","18","",-12027026.81,4413458.735,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"196","EB-224",3.54e+14,"415,467","3,945,318","7,051","X","300","300","121TSUQsa",-11792495.67,4252305.927,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"197","EB-004",NA,"411,065","3,936,094","6,598","RG-38073 X2","560","560","121TSUQa",-11797794.89,4240867.358,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"198","LC-028",NA,"399,769","3,936,918","6,082","RG-34497","","","112ANCH/120IRSV",-11811680.02,4241736.268,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"199","WL-0151",NA,"341,692","3,950,613","5,723","RG-46073 POD2","70","28","",-11883301.77,4257601.465,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"200","BC-0295",NA,"380,029","3,890,360","6,891","","","427","",-11835164.24,4184148.008,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"201","BC-0123",NA,"366,940","3,881,580","5,991","","","","",-11850998.76,4173153.961,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"202","BC-0055",NA,"376,424","3,885,340","6,558","S-01173","160","160","",-11839485.3,4177929.246,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"203","SD-0249",NA,"376,016","3,890,740","6,958","X","159","159","231CHNL",-11840073.67,4184548.106,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"204","EB-418",NA,"412,901","3,933,908","6,623","RG-42864","","","112ANCH/121TSUQa",-11795513.66,4238193.106,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"205","AR-0109",NA,"243,778","4,092,150","5,848","SJ-03067","20","20","",-12008824.72,4430829.951,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"206","PC-044",NA,"371,827","3,905,475","6,348","X","300","300","325MDER",-11845447.32,4202575.558,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"207","EB-012",3.54e+14,"412,377","3,949,416","6,831","RG-01113","616","616","121TSUQs",-11796344.54,4257331.132,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"208","SD-0115",NA,"396,934","3,875,690","6,365","X","100","100","325MDER",-11814305.33,4166411.278,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"209","SD-0138",NA,"374,261","3,886,080","6,727","X","65","65","110ALVM/231CHNL",-11842139.07,4178800.541,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"210","AR-0010",NA,"225,194","4,076,660","5,517","X","","38","",-12031400.93,4410699.601,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"211","AR-0069",NA,"234,659","4,082,709","5,655","SJ-03497","30","30","",-12019841.8,4418647.963,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"212","BC-0070",NA,"378,476","3,890,570","6,802","S-01197","240","240","",-11837065.15,4184380.354,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"213","SV-0023",NA,"381,056","3,899,797","6,371","RG-83111","245","245","325MDER",-11834061.07,4195752.874,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"214","SD-0184",NA,"377,783","3,886,940","6,674","X","175","175","210MNCS",-11837852.11,4179914.59,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"215","EB-374",NA,"403,628","3,929,182","6,180","RG-74896","200","200","112ANCH/123ESPN",-11806837.6,4232248.271,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"216","BC-0106",NA,"380,464","3,872,370","7,466","","","","",-11834344.02,4162097.181,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"217","AR-0007",NA,"226,463","4,076,570","5,505","SJ-03663","32","32","",-12029816.17,4410638.038,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"218","EB-086",NA,"408,125","3,958,220","6,691","RG-29546","770","770","121TSUQsf",-11801686.96,4268160.974,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"219","BC-0244",NA,"378,908","3,885,170","6,774","S-01782","","375","",-11836449.27,4177761.775,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"220","TO-0465",NA,"406,034","3,883,910","6,257","","","192","112QTBF",-11803307.13,4176610.22,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"221","BC-0253",NA,"373,975","3,886,830","6,998","","","310","",-11842501.05,4179715.738,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"222","BC-0009",NA,"374,717","3,888,080","6,893","S-01524 POD2","","540","",-11841615.93,4181261.956,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"223","BC-0034",3.51e+14,"374,292","3,884,100","6,478","S-00624","160","160","211MVRD",-11842067.74,4176372.458,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"224","TC-209",NA,"434,090","4,075,717","7,672","RG-38563","400","400","",-11770820,4414746.456,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"225","BC-0222",NA,"374,838","3,887,560","6,794","","","","",-11841459.37,4180625.997,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"226","EB-270",3.55e+14,"395,376","3,966,092","5,527","Exempt","380","346","121CHMTv",-11817498.64,4277725.443,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"227","SV-0081",NA,"377,522","3,898,349","6,969","RG-81065","785","785","325MDER",-11838359.44,4193916.042,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"228","EB-304",NA,"400,149","3,937,292","6,100","RG-21300","60","60","112ANCH",-11811218.42,4242202.96,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"229","EB-608",3.54e+14,"402,225","3,952,079","6,373","Exempt","2,004","1,990","121TSUQs",-11808868.07,4260490.894,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"230","SV-0099",NA,"380,114","3,900,205","6,417","RG-66741","200","200","325MDER",-11835219.84,4196238.852,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"231","TO-0454",NA,"399,423","3,881,480","6,325","","","200","112QTBF",-11811346.94,4173543.175,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"232","WL-0157",NA,"368,338","3,907,364","5,985","RG-28291-S2","","","",-11849750.86,4204836.09,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"233","TO-0470",NA,"406,769","3,880,470","6,292","","","125","310GLOR",-11802366.53,4172400.709,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"234","EB-036",NA,"417,680","3,943,130","7,300","RG-53836","227","227","400EMBD",-11789749.84,4249629.673,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"235","BC-0156",3.51e+14,"380,492","3,891,850","6,704","","","260","313SADG",-11834622.55,4185984.374,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"236","EB-316",NA,"399,790","3,937,163","6,084","X","8","8","112ANCH/121TSUQ",-11811657.61,4242038.834,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"237","EB-243",3.54e+14,"408,912","3,946,594","6,638","RG-07738","112","112","121TSUQs",-11800571.17,4253801.973,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"238","EB-172",3.54e+14,"405,330","3,943,594","6,459","RG-24042","493","493","121TSUQs",-11804936.58,4250051.038,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"239","EB-025",NA,"420,106","3,934,109","7,085","RG-39231","200","200","400EMBD",-11786668.41,4238524.103,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"240","SD-0122",NA,"367,123","3,881,600","6,192","X","110","110","110ALVM/400PREC",-11850775.76,4173181.764,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"241","TO-0463",NA,"404,415","3,879,530","6,224","","","309","310GLOR",-11805227.88,4171218.218,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"242","EB-454",NA,"419,857","3,927,425","6,652","RG-60202","250","250","221MRSN/BBSN",-11786900.64,4230279.791,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"243","BC-0114",NA,"377,303","3,871,320","7,498","RG-54674","260","260","",-11838181.29,4160759.683,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"244","BC-0132",NA,"378,421","3,892,260","6,740","","","","",-11837160.06,4186453.836,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"245","BC-0046",NA,"378,221","3,886,440","6,812","","","","",-11837308.97,4179308.408,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"246","EB-101",NA,"416,630","3,958,000","6,950","RG-53785","500","500","121TSUQsf",-11791212.22,4267992.899,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"247","PC-127",NA,"368,663","3,911,311","5,670","RG-65081","610","610","112SNTFP",-11849423.52,4209695.89,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"248","PC-057",NA,"372,188","3,908,820","5,972","X","210","210","230TRSC",-11845063.59,4206694.597,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"249","EB-329",NA,"399,211","3,940,177","6,217","RG-29536","132","132","121TSUQs",-11812410.65,4245750.049,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"250","AR-0060",NA,"233,423","4,082,020","5,664","SJ-04129","60","60","",-12021356.21,4417736.721,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"251","SD-0132",NA,"374,896","3,886,910","6,706","X","180","180","231CHNL/231SNRS",-11841377.58,4179829.518,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"252","SD-0186",NA,"378,226","3,886,920","6,720","X","300","300","300YESO",-11837310.73,4179897.36,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"253","EB-267",3.55e+14,"395,127","3,966,201","5,480","Exempt","60","60","110ALVM/121CHMTv",-11817807.07,4277856.706,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"254","EB-257",3.55e+14,"418,507","3,963,217","7,023","RG-17341","130","130","121TSUQa",-11788960.22,4274468.573,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"255","TO-0473",NA,"410,874","3,878,560","6,201","","","","112QTBF",-11797332.86,4170109.404,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"256","EB-349",NA,"414,128","3,935,252","6,672","X","","","112ANCH",-11794022.84,4239865.61,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"257","BC-0332",NA,"377,682","3,891,460","6,846","","","340","",-11838049.96,4185459.621,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"258","BC-0054",NA,"381,156","3,888,180","6,876","S-01439","460","460","",-11833752.34,4181490.977,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"259","BC-0163",NA,"375,624","3,892,580","7,071","S-01295","85","85","",-11840583.5,4186800.042,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"260","SD-0228",NA,"395,452","3,880,560","6,479","X","143","143","050QUAL",-11816181.57,4172360.157,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"261","BC-0102",NA,"379,075","3,872,220","7,561","RG-44390","600","600","",-11836035.34,4161891.012,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"262","EB-404",NA,"403,012","3,927,884","6,138","RG-23418","150","150","112ANCH",-11807576.32,4230640.11,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"263","AR-0068",NA,"234,296","4,081,460","5,654","X","","31","",-12020245.86,4417069.637,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"264","SD-0206",NA,"378,642","3,883,540","6,952","X","400","400","325MDER",-11836747.49,4175758.216,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"265","SD-0328",NA,"369,040","3,907,820","5,883","X","89","89","110ALVM/231CHNL",-11848899.7,4205409.342,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"266","BC-0143",NA,"358,336","3,895,900","5,411","RG-60929","","711","",-11861773.15,4190564.235,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"267","TC-233",NA,"411,193","4,078,883","9,254","RG-24777","50","50","",-11799439.03,4418455.099,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"268","EB-328",NA,"397,578","3,942,243","6,375","RG-75421","560","510","121TSUQs",-11814446.33,4248277.209,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"269","BC-0063",NA,"378,918","3,888,420","6,856","S-02071","385","385","",-11836490.02,4181749.146,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"270","PC-072",NA,"367,641","3,907,200","6,017","RG-26806","250","250","221MRSN/BBSN",-11850601.05,4204621.9,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"271","PC-098",NA,"373,051","3,911,207","6,060","RG-68220","350","350","122SNTFP",-11844048.27,4209645.405,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"272","EB-068",NA,"417,500","3,955,240","7,140","RG-27555","455","455","123ESPN",-11790109.38,4264590.041,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"273","BC-0090",NA,"374,926","3,888,900","6,949","S-00428 POD3","300","300","",-11841374.45,4182271.66,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"274","TC-229",3.65e+14,"427,538","4,085,394","7,642","RG-37144","363","363","000EXRV",-11779100.73,4426816.936,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"275","AR-0050",NA,"219,667","4,073,420","5,463","X","","","",-12038154.59,4406421.119,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"276","EB-237",3.54e+14,"410,148","3,948,186","6,762","RG-04082","273","273","121TSUQs",-11799071.08,4255784.028,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"277","BC-0204",NA,"374,864","3,886,990","6,729","","","","",-11841418.01,4179927.122,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
