PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
BC-0311,,380078,3873300,7581,RG-76762,,520,,1260,-106.3140834,34.99520986
ED-0169,,555401,3585220,3593,,,43,313CLBD,1261,-104.4108936,32.40265122
MI-0266,,570883,3952401,4754.3,,,50,231CHNL,1262,-104.2163732,35.71301775
EB-375,,413797,3940385,6880.67,RG-51864,520,520,121TSUQa,1263,-105.9517089,35.603469
BW-0710,,313256,3698190,4671.24,,,6044,313SADR,1264,-107.0081755,33.40681816
AR-0053,,234797,4082930,5655.95,SJ-00986,104,104,,1265,-107.9746073,36.85510965
AR-0211,,240125,4087869,5768.41,SJ-03474,44,44,,1266,-107.9166097,36.90105503
TO-0125,,381040,3837050,6700,,,229,112QTBF,1267,-106.2984034,34.66851665
QY-0851,,594882,3864860,4510,,28,28,110ALVM,1268,-103.961233,34.9217747
BW-0244,,406280,3659230,4530,,,,110ALVM,1269,-106.0040113,33.06761268
TO-0053,,453923,3816560,6185.72,,,150,310YESO,1270,-105.5018555,34.48962103
DA-0040,,341173,3591380,4362,,,342,112SNTF,1271,-106.6896813,32.44826117
TO-0166,,397283,3836420,6202.31,,,201,112QTBF,1272,-106.1210743,34.66459564
SD-0203,,383120,3884280,7075.03,X,210,210,325MDER,1273,-106.2823036,35.09455202
SA-0134,,272014,3698189,5298.04,RG-62422,215,215,112QTBFppm,1274,-107.4513527,33.39884132
QY-0613,,601616,3839360,4720,,108,108,121OGLL,1275,-103.8906059,34.69121336
NM-26917,,368964,3907493,5956,RG-67522,,140,,1276,-106.4412605,35.30205914
CX-0083,,567989,4015040,6070,,,55,110ALVM,1277,-104.2429875,36.27792295
BW-0310,,408930,3643170,4372,,,210,,1278,-105.9740333,32.92299162
TV-106,,440432,4019553,7350.73,RG-27921,975,972,122CRTO,1279,-105.6636191,36.31916383
WL-0057,,217911,3911650,7479.91,X,,270,313SADR,1280,-108.1025169,35.30830548
SO-0029,,350919,3802110,5505,,,196,112SNTF,1281,-106.6209438,34.34960466
EB-121,,405692,3955377,6570.2,RG-24584,602,602,121TSUQsf,1282,-106.0429339,35.73788121
TV-128,,445068,4020094,7246.8,RG-57268,500,500,123PICS,1283,-105.6120133,36.32431647
QY-0984,,655659,3875950,4170,,68,68,110AVMB,1284,-103.2939798,35.01422635
MG-040,,294816,3770724,7426.11,RG-56419,160,160,,1285,-107.2231513,34.05716792
AR-0035,,214281,4067770,5295.571,X,,40,,1286,-108.1987245,36.71268151
SD-0193,,380465,3886090,6832.56,X,390,390,325MDER,1287,-106.3116863,35.11055751
DA-0125,,357881,3558020,4077.4,,,798,112SNTF,1288,-106.5070028,32.14967177
TV-209,,444721,4017534,7506.77,RG-83482,295,295,123PICS,1289,-105.6156975,36.30121834
MI-0100,,530492,3917302,4954.18,,,85,231SNRS,1290,-104.6642208,35.39862831
QY-0144,,593850,3889670,4200,,40,40,231CHNL,1291,-103.9697261,35.14555609
ED-0281,,575151,3577130,3155,,,168,110ALVM,1292,-104.2015357,32.32851948
QY-0023,,601677,3883540,4340,,147,147,221MRSN,1293,-103.884569,35.08952977
AR-0037,,223013,4074270,5581.135,SJ-03110,320,320,,1294,-108.1034562,36.77377757
SO-0092,,345768,3791520,5519,,,35,110ALVM,1295,-106.6750322,34.25338573
SV-0001,,378157,3900443,6532.28,RG-67003,170,170,325MDER,1296,-106.3391268,35.23966907
EB-322,,403716,3938365,6258.9,RG-22251 X1,200,200,121TSUQs,1297,-106.0627483,35.58432839
SD-0298,,387675,3892430,6990.52,X,225,225,050QUAL/310ABO,1298,-106.2334487,35.16854368
BC-0019,,368412,3881650,6105,RG-92869 POD1,,,,1299,-106.4432048,35.06903036
QU-108,,449271,4066816,8247.2,?,385,385,,1300,-105.5682627,36.74573162
EB-203,3.52805E+14,403394,3925540,6124.77,RG-19203,114,114,112ANCH,1301,-106.0647733,35.46867844
ED-0301,,589704,3574900,2980,,,79,110ALVM,1302,-104.0471387,32.30733154
MI-0271,,462583,3963160,7673.56,,,141,,1303,-105.4141829,35.81186189
BC-0177,,379090,3885550,6933,S-02662,480,480,,1304,-106.326692,35.1055253
ED-0231,,576345,3580380,3122,,,,110ALVM,1305,-104.188589,32.35775493
QY-0797,,623287,3851710,4830,,202,202,,1306,-103.6522556,34.80016959
PC-071,,368147,3907687,5938,RG-30170,100,100,211PNLK,1307,-106.4502752,35.30370046
MI-0032,,532675,3903459,4964.22,,,85,231SNRS,1308,-104.6407341,35.27374004
QY-0557,,581300,3832350,4440,,13,13,110ALVM/231CHNL,1309,-104.1130553,34.62982231
MI-0289,,591704,3961152,5529,,,,211DKOT/217PRGR,1310,-103.9852172,35.79018843
BW-0443,,411218,3623970,4095,,,200,110ALVM,1311,-105.9477235,32.75000791
